band,pair,subject,polarity,delta_rad,conc_ictal,conc_inter,n_ictal_windows,n_inter_windows
theta,FP1-F7|FP2-F8,chb07,standard,-1.3316,0.5758,0.9784,3,10
theta,FP1-F7|FP2-F8,chb11,inverted,-0.1527,0.9659,0.9650,3,10
theta,FP1-F7|FP2-F8,chb14,standard,+0.0381,0.9885,0.9823,8,10
theta,FP1-F7|FP2-F8,chb21,inverted,-0.1691,0.9995,0.9860,4,10
theta,FP1-F7|F8-T8,chb01,standard,+0.1358,0.9726,0.9660,7,10
theta,FP1-F7|F8-T8,chb03,inverted,-3.0410,0.8075,0.9669,7,10
theta,FP1-F7|F8-T8,chb05,standard,+0.3391,0.8864,0.9421,5,10
theta,FP1-F7|F8-T8,chb07,standard,+0.8443,0.9423,0.9927,3,10
theta,FP1-F7|F8-T8,chb11,inverted,-1.2166,0.7482,0.9705,3,10
theta,FP1-F7|F8-T8,chb14,standard,+0.0726,0.9945,0.9212,8,10
theta,FP1-F7|F8-T8,chb21,inverted,-0.1931,0.9912,0.8974,4,10
theta,FP1-F7|FP2-F4,chb01,standard,+0.7300,0.9875,0.9825,7,10
theta,FP1-F7|FP2-F4,chb03,inverted,+1.0916,0.9551,0.9163,7,10
theta,FP1-F7|FP2-F4,chb05,standard,+0.4771,0.9794,0.7074,5,10
theta,FP1-F7|FP2-F4,chb07,standard,+0.0956,0.9874,0.9142,3,10
theta,FP1-F7|FP2-F4,chb11,inverted,-1.8919,0.6182,0.5607,3,10
theta,FP1-F7|FP2-F4,chb14,standard,-0.7613,0.9676,0.6615,8,10
theta,FP1-F7|FP2-F4,chb21,inverted,-0.1983,0.9926,0.8822,4,10
theta,FP1-F7|F4-C4,chb01,standard,-0.0958,0.9899,0.9672,7,10
theta,FP1-F7|F4-C4,chb03,inverted,-2.6826,0.3997,0.9622,7,10
theta,FP1-F7|F4-C4,chb05,standard,+0.3616,0.9697,0.9800,5,10
theta,FP1-F7|F4-C4,chb07,standard,+0.5047,0.9700,0.9838,3,10
theta,FP1-F7|F4-C4,chb11,inverted,-0.6451,0.6588,0.9333,3,10
theta,FP1-F7|F4-C4,chb14,standard,+0.3526,0.9841,0.9803,8,10
theta,FP1-F7|F4-C4,chb21,inverted,+0.1737,0.9873,0.9818,4,10
theta,F7-T7|FP1-F3,chb01,standard,+0.7855,0.9267,0.9625,7,10
theta,F7-T7|FP1-F3,chb03,inverted,-0.3753,0.9791,0.9749,7,10
theta,F7-T7|FP1-F3,chb05,standard,-0.6166,0.9219,0.6719,5,10
theta,F7-T7|FP1-F3,chb07,standard,-0.0094,0.9459,0.9837,3,10
theta,F7-T7|FP1-F3,chb11,inverted,-2.3293,0.9850,0.7081,3,10
theta,F7-T7|FP1-F3,chb14,standard,-0.6468,0.9615,0.5477,8,10
theta,F7-T7|FP1-F3,chb21,inverted,+0.0862,0.9773,0.9843,4,10
theta,F7-T7|F3-C3,chb01,standard,-0.2228,0.9968,0.9979,7,10
theta,F7-T7|F3-C3,chb03,inverted,+0.0330,0.9085,0.9942,7,10
theta,F7-T7|F3-C3,chb05,standard,-0.0494,0.9966,0.9889,5,10
theta,F7-T7|F3-C3,chb07,standard,-0.0063,0.9966,0.9891,3,10
theta,F7-T7|F3-C3,chb11,inverted,-0.0929,0.9424,0.9660,3,10
theta,F7-T7|F3-C3,chb14,standard,-0.0710,0.9964,0.9904,8,10
theta,F7-T7|F3-C3,chb21,inverted,-0.1230,0.9974,0.9956,4,10
theta,F7-T7|FP2-F8,chb01,standard,+0.4258,0.9646,0.9808,7,10
theta,F7-T7|FP2-F8,chb03,inverted,-0.4474,0.8329,0.9622,7,10
theta,F7-T7|FP2-F8,chb05,standard,+0.1206,0.9314,0.9795,5,10
theta,F7-T7|FP2-F8,chb07,standard,-0.4454,0.8710,0.9833,3,10
theta,F7-T7|FP2-F8,chb11,inverted,+0.1722,0.9068,0.9409,3,10
theta,F7-T7|FP2-F8,chb14,standard,-0.0540,0.9838,0.9767,8,10
theta,F7-T7|FP2-F8,chb21,inverted,+0.0608,0.9926,0.8169,4,10
theta,F7-T7|F8-T8,chb01,standard,-0.1842,0.9881,0.6162,7,10
theta,F7-T7|F8-T8,chb03,inverted,-0.5091,0.9327,0.9418,7,10
theta,F7-T7|F8-T8,chb05,standard,-0.1070,0.9220,0.9137,5,10
theta,F7-T7|F8-T8,chb07,standard,+0.7462,0.7242,0.6967,3,10
theta,F7-T7|F8-T8,chb11,inverted,-1.3225,0.6512,0.9017,3,10
theta,F7-T7|F8-T8,chb14,standard,+0.3646,0.9648,0.8476,8,10
theta,F7-T7|F8-T8,chb21,inverted,+0.3721,0.9936,0.9548,4,10
theta,F7-T7|FP2-F4,chb01,standard,+0.7298,0.9601,0.9379,7,10
theta,F7-T7|FP2-F4,chb03,inverted,-0.6266,0.9490,0.9142,7,10
theta,F7-T7|FP2-F4,chb05,standard,-0.0635,0.6029,0.6571,5,10
theta,F7-T7|FP2-F4,chb07,standard,-0.0256,0.9926,0.9266,3,10
theta,F7-T7|FP2-F4,chb11,inverted,-2.1998,0.3086,0.5448,3,10
theta,F7-T7|FP2-F4,chb14,standard,-0.9154,0.9427,0.4255,8,10
theta,F7-T7|FP2-F4,chb21,inverted,+0.2356,0.9579,0.9778,4,10
theta,F7-T7|F4-C4,chb01,standard,-0.3193,0.9752,0.9509,7,10
theta,F7-T7|F4-C4,chb03,inverted,-0.7918,0.7685,0.9671,7,10
theta,F7-T7|F4-C4,chb05,standard,+0.2053,0.9040,0.9944,5,10
theta,F7-T7|F4-C4,chb07,standard,+0.5323,0.9488,0.9689,3,10
theta,F7-T7|F4-C4,chb11,inverted,-0.1337,0.4799,0.9169,3,10
theta,F7-T7|F4-C4,chb14,standard,+0.2770,0.9841,0.9566,8,10
theta,F7-T7|F4-C4,chb21,inverted,+0.0623,0.9885,0.9607,4,10
theta,FP1-F3|F3-C3,chb01,standard,-1.0668,0.9412,0.9420,7,10
theta,FP1-F3|F3-C3,chb03,inverted,+1.7669,0.2931,0.0646,7,10
theta,FP1-F3|F3-C3,chb05,standard,+0.4770,0.9772,0.9197,5,10
theta,FP1-F3|F3-C3,chb07,standard,-0.3543,0.8870,0.9560,3,10
theta,FP1-F3|F3-C3,chb11,inverted,+2.2936,0.7989,0.8297,3,10
theta,FP1-F3|F3-C3,chb14,standard,+1.9060,0.7662,0.6689,8,10
theta,FP1-F3|F3-C3,chb21,inverted,-0.5422,0.9936,0.9325,4,10
theta,FP1-F3|FP2-F8,chb01,standard,-0.2393,0.5757,0.9776,7,10
theta,FP1-F3|FP2-F8,chb03,inverted,+1.5758,0.7581,0.3808,7,10
theta,FP1-F3|FP2-F8,chb05,standard,+0.6289,0.8022,0.8183,5,10
theta,FP1-F3|FP2-F8,chb07,standard,-1.7307,0.6546,0.9596,3,10
theta,FP1-F3|FP2-F8,chb11,inverted,+1.3282,0.8965,0.9259,3,10
theta,FP1-F3|FP2-F8,chb14,standard,+0.5933,0.9507,0.8329,8,10
theta,FP1-F3|FP2-F8,chb21,inverted,-0.5914,0.9905,0.8235,4,10
theta,FP1-F3|F8-T8,chb01,standard,-0.8570,0.8647,0.8195,7,10
theta,FP1-F3|F8-T8,chb03,inverted,-0.3738,0.9558,0.8821,7,10
theta,FP1-F3|F8-T8,chb05,standard,+0.6820,0.8347,0.2172,5,10
theta,FP1-F3|F8-T8,chb07,standard,+0.1481,0.9523,0.9868,3,10
theta,FP1-F3|F8-T8,chb11,inverted,+0.0154,0.9805,0.7000,3,10
theta,FP1-F3|F8-T8,chb14,standard,-0.3678,0.9406,0.4462,8,10
theta,FP1-F3|F8-T8,chb21,inverted,-0.2142,0.9865,0.9608,4,10
theta,FP1-F3|FP2-F4,chb01,standard,+0.1732,0.9880,0.9976,7,10
theta,FP1-F3|FP2-F4,chb03,inverted,-0.1929,0.9478,0.9952,7,10
theta,FP1-F3|FP2-F4,chb05,standard,+0.1476,0.9978,0.9926,5,10
theta,FP1-F3|FP2-F4,chb07,standard,-0.2799,0.9623,0.9976,3,10
theta,FP1-F3|FP2-F4,chb11,inverted,-0.0349,0.9943,0.9952,3,10
theta,FP1-F3|FP2-F4,chb14,standard,+0.2517,0.9988,0.9937,8,10
theta,FP1-F3|FP2-F4,chb21,inverted,-0.1662,0.9976,0.9946,4,10
theta,FP1-F3|F4-C4,chb01,standard,-0.8515,0.9593,0.9294,7,10
theta,FP1-F3|F4-C4,chb03,inverted,+0.4546,0.8723,0.5029,7,10
theta,FP1-F3|F4-C4,chb05,standard,+0.5668,0.9276,0.9056,5,10
theta,FP1-F3|F4-C4,chb07,standard,+0.0335,0.9886,0.9818,3,10
theta,FP1-F3|F4-C4,chb11,inverted,+0.2783,0.9561,0.9622,3,10
theta,FP1-F3|F4-C4,chb14,standard,+2.9743,0.7644,0.6099,8,10
theta,FP1-F3|F4-C4,chb21,inverted,-0.3728,0.9429,0.8902,4,10
theta,F3-C3|FP2-F8,chb01,standard,+0.5440,0.9643,0.9765,7,10
theta,F3-C3|FP2-F8,chb03,inverted,+0.2590,0.9422,0.9769,7,10
theta,F3-C3|FP2-F8,chb05,standard,+0.1496,0.6721,0.9931,5,10
theta,F3-C3|FP2-F8,chb07,standard,-0.4607,0.9065,0.9707,3,10
theta,F3-C3|FP2-F8,chb11,inverted,+0.1449,0.9977,0.9483,3,10
theta,F3-C3|FP2-F8,chb14,standard,-0.2521,0.9868,0.9553,8,10
theta,F3-C3|FP2-F8,chb21,inverted,+0.0763,0.9908,0.9824,4,10
theta,F3-C3|F8-T8,chb01,standard,+0.0622,0.9951,0.9767,7,10
theta,F3-C3|F8-T8,chb03,inverted,-0.4048,0.4755,0.9839,7,10
theta,F3-C3|F8-T8,chb05,standard,+0.2497,0.9639,0.9574,5,10
theta,F3-C3|F8-T8,chb07,standard,+0.6024,0.9216,0.9734,3,10
theta,F3-C3|F8-T8,chb11,inverted,-0.4323,0.9543,0.9379,3,10
theta,F3-C3|F8-T8,chb14,standard,-0.0081,0.9710,0.7929,8,10
theta,F3-C3|F8-T8,chb21,inverted,+0.1904,0.9989,0.9348,4,10
theta,F3-C3|FP2-F4,chb01,standard,+0.8434,0.9809,0.9310,7,10
theta,F3-C3|FP2-F4,chb03,inverted,-2.5405,0.0878,0.5062,7,10
theta,F3-C3|FP2-F4,chb05,standard,+0.0433,0.9750,0.8992,5,10
theta,F3-C3|FP2-F4,chb07,standard,-0.3309,0.9755,0.9565,3,10
theta,F3-C3|FP2-F4,chb11,inverted,-0.7146,0.9458,0.9381,3,10
theta,F3-C3|FP2-F4,chb14,standard,-1.4797,0.8578,0.8922,8,10
theta,F3-C3|FP2-F4,chb21,inverted,+0.3949,0.9922,0.9607,4,10
theta,F3-C3|F4-C4,chb01,standard,-0.0317,0.9904,0.9931,7,10
theta,F3-C3|F4-C4,chb03,inverted,-0.0318,0.8862,0.9933,7,10
theta,F3-C3|F4-C4,chb05,standard,+0.2618,0.9853,0.9972,5,10
theta,F3-C3|F4-C4,chb07,standard,+0.1125,0.9734,0.9767,3,10
theta,F3-C3|F4-C4,chb11,inverted,-0.0809,0.9914,0.9851,3,10
theta,F3-C3|F4-C4,chb14,standard,+0.3075,0.9809,0.9886,8,10
theta,F3-C3|F4-C4,chb21,inverted,+0.1059,0.9966,0.9888,4,10
theta,FP2-F8|F8-T8,chb01,standard,-0.3653,0.9815,0.8190,7,10
theta,FP2-F8|F8-T8,chb03,inverted,+0.7974,0.6456,0.8086,7,10
theta,FP2-F8|F8-T8,chb05,standard,-0.3975,0.8246,0.9767,5,10
theta,FP2-F8|F8-T8,chb07,standard,+0.3740,0.3339,0.8170,3,10
theta,FP2-F8|F8-T8,chb11,inverted,+0.1316,0.9757,0.4591,3,10
theta,FP2-F8|F8-T8,chb14,standard,+0.0993,0.9914,0.9778,8,10
theta,FP2-F8|F8-T8,chb21,inverted,+0.1576,0.9931,0.8098,4,10
theta,FP2-F8|FP2-F4,chb01,standard,-0.3504,0.9543,0.9939,7,10
theta,FP2-F8|FP2-F4,chb03,inverted,+0.2583,0.9064,0.6880,7,10
theta,FP2-F8|FP2-F4,chb05,standard,-0.1566,0.7668,0.7870,5,10
theta,FP2-F8|FP2-F4,chb07,standard,+0.2373,0.9657,0.9928,3,10
theta,FP2-F8|FP2-F4,chb11,inverted,-0.4498,0.9933,0.9677,3,10
theta,FP2-F8|FP2-F4,chb14,standard,-0.3600,0.9880,0.9764,8,10
theta,FP2-F8|FP2-F4,chb21,inverted,+0.1884,0.9978,0.9427,4,10
theta,FP2-F8|F4-C4,chb01,standard,-0.9614,0.8328,0.9641,7,10
theta,FP2-F8|F4-C4,chb03,inverted,+0.5172,0.8813,0.9778,7,10
theta,FP2-F8|F4-C4,chb05,standard,+0.0437,0.9918,0.9904,5,10
theta,FP2-F8|F4-C4,chb07,standard,+1.6516,0.4897,0.9602,3,10
theta,FP2-F8|F4-C4,chb11,inverted,-0.2245,0.9959,0.9322,3,10
theta,FP2-F8|F4-C4,chb14,standard,+0.2772,0.9967,0.9662,8,10
theta,FP2-F8|F4-C4,chb21,inverted,+0.2946,0.9980,0.9842,4,10
theta,F8-T8|FP2-F4,chb01,standard,+0.5990,0.9573,0.9665,7,10
theta,F8-T8|FP2-F4,chb03,inverted,+0.1436,0.9888,0.9379,7,10
theta,F8-T8|FP2-F4,chb05,standard,+1.7388,0.9115,0.0378,5,10
theta,F8-T8|FP2-F4,chb07,standard,-1.1397,0.5558,0.9627,3,10
theta,F8-T8|FP2-F4,chb11,inverted,-0.0400,0.9716,0.8153,3,10
theta,F8-T8|FP2-F4,chb14,standard,-0.1187,0.9458,0.4667,8,10
theta,F8-T8|FP2-F4,chb21,inverted,+0.1264,0.9967,0.9925,4,10
theta,F8-T8|F4-C4,chb01,standard,-0.1977,0.9818,0.9954,7,10
theta,F8-T8|F4-C4,chb03,inverted,+0.0971,0.9809,0.9928,7,10
theta,F8-T8|F4-C4,chb05,standard,+0.2595,0.9514,0.9829,5,10
theta,F8-T8|F4-C4,chb07,standard,-0.2728,0.9950,0.9893,3,10
theta,F8-T8|F4-C4,chb11,inverted,+0.0510,0.9815,0.9954,3,10
theta,F8-T8|F4-C4,chb14,standard,-0.0287,0.9951,0.9941,8,10
theta,F8-T8|F4-C4,chb21,inverted,-0.0305,0.9965,0.9873,4,10
theta,FP2-F4|F4-C4,chb01,standard,-1.0712,0.9949,0.9709,7,10
theta,FP2-F4|F4-C4,chb03,inverted,+1.2836,0.9311,0.7040,7,10
theta,FP2-F4|F4-C4,chb05,standard,-0.0095,0.9454,0.9238,5,10
theta,FP2-F4|F4-C4,chb07,standard,+0.9029,0.8003,0.9713,3,10
theta,FP2-F4|F4-C4,chb11,inverted,+0.5552,0.9886,0.9613,3,10
theta,FP2-F4|F4-C4,chb14,standard,+2.5338,0.7554,0.8771,8,10
theta,FP2-F4|F4-C4,chb21,inverted,-0.3638,0.9804,0.9560,4,10
alpha,FP1-F7|F7-T7,chb01,standard,-0.3826,0.9708,0.8064,7,10
alpha,FP1-F7|F7-T7,chb03,inverted,-1.7248,0.3669,0.9773,7,10
alpha,FP1-F7|F7-T7,chb05,standard,+1.7968,0.8713,0.6833,5,10
alpha,FP1-F7|F7-T7,chb07,standard,-0.2221,0.9870,0.9630,3,10
alpha,FP1-F7|F7-T7,chb11,inverted,+0.4686,0.9804,0.8135,3,10
alpha,FP1-F7|F7-T7,chb14,standard,+1.0488,0.9611,0.8204,8,10
alpha,FP1-F7|F7-T7,chb21,inverted,+1.6843,0.9890,0.4617,4,10
alpha,FP1-F7|FP1-F3,chb01,standard,+0.2361,0.9870,0.9985,7,10
alpha,FP1-F7|FP1-F3,chb03,inverted,-0.7123,0.9672,0.8878,7,10
alpha,FP1-F7|FP1-F3,chb05,standard,+0.6186,0.6026,0.9857,5,10
alpha,FP1-F7|FP1-F3,chb07,standard,+0.0270,0.9885,0.9877,3,10
alpha,FP1-F7|FP1-F3,chb11,inverted,+1.9699,0.9171,0.9540,3,10
alpha,FP1-F7|FP1-F3,chb14,standard,+0.1221,0.9472,0.9648,8,10
alpha,FP1-F7|FP1-F3,chb21,inverted,-0.2746,0.9994,0.6315,4,10
alpha,FP1-F7|F3-C3,chb01,standard,+0.3416,0.9676,0.7757,7,10
alpha,FP1-F7|F3-C3,chb03,inverted,+1.5957,0.7553,0.9719,7,10
alpha,FP1-F7|F3-C3,chb05,standard,-0.0275,0.5947,0.8980,5,10
alpha,FP1-F7|F3-C3,chb07,standard,-0.3308,0.9847,0.9741,3,10
alpha,FP1-F7|F3-C3,chb11,inverted,+0.4649,0.7969,0.8813,3,10
alpha,FP1-F7|F3-C3,chb14,standard,+0.0790,0.8586,0.9805,8,10
alpha,FP1-F7|F3-C3,chb21,inverted,-0.0677,0.9951,0.9556,4,10
alpha,FP1-F7|FP2-F8,chb01,standard,-0.0637,0.9415,0.9910,7,10
alpha,FP1-F7|FP2-F8,chb03,inverted,+1.2236,0.4111,0.9855,7,10
alpha,FP1-F7|FP2-F8,chb05,standard,+0.1015,0.9951,0.9789,5,10
alpha,FP1-F7|FP2-F8,chb07,standard,-0.7201,0.7079,0.9857,3,10
alpha,FP1-F7|FP2-F8,chb11,inverted,+0.5526,0.9799,0.9834,3,10
alpha,FP1-F7|FP2-F8,chb14,standard,+0.1597,0.9921,0.9664,8,10
alpha,FP1-F7|FP2-F8,chb21,inverted,+0.0399,0.9985,0.9904,4,10
alpha,FP1-F7|F8-T8,chb01,standard,+0.3399,0.9226,0.6631,7,10
alpha,FP1-F7|F8-T8,chb03,inverted,-0.0586,0.5208,0.9545,7,10
alpha,FP1-F7|F8-T8,chb05,standard,-0.6287,0.8604,0.9728,5,10
alpha,FP1-F7|F8-T8,chb07,standard,-0.7533,0.9744,0.9693,3,10
alpha,FP1-F7|F8-T8,chb11,inverted,+1.2424,0.4500,0.8034,3,10
alpha,FP1-F7|F8-T8,chb14,standard,-0.0154,0.9867,0.9398,8,10
alpha,FP1-F7|F8-T8,chb21,inverted,-0.0179,0.9835,0.9305,4,10
alpha,FP1-F7|FP2-F4,chb01,standard,+0.3499,0.9914,0.9857,7,10
alpha,FP1-F7|FP2-F4,chb03,inverted,-1.6410,0.2445,0.8816,7,10
alpha,FP1-F7|FP2-F4,chb05,standard,+1.5613,0.6824,0.9878,5,10
alpha,FP1-F7|FP2-F4,chb07,standard,+0.3909,0.3643,0.8071,3,10
alpha,FP1-F7|FP2-F4,chb11,inverted,+0.4186,0.4365,0.9416,3,10
alpha,FP1-F7|FP2-F4,chb14,standard,+0.1048,0.9804,0.6621,8,10
alpha,FP1-F7|FP2-F4,chb21,inverted,-0.1909,0.9985,0.8566,4,10
alpha,FP1-F7|F4-C4,chb01,standard,+0.6601,0.9874,0.7774,7,10
alpha,FP1-F7|F4-C4,chb03,inverted,+0.3499,0.3057,0.9842,7,10
alpha,FP1-F7|F4-C4,chb05,standard,+1.3529,0.6404,0.8051,5,10
alpha,FP1-F7|F4-C4,chb07,standard,-0.5850,0.9427,0.9833,3,10
alpha,FP1-F7|F4-C4,chb11,inverted,+1.1037,0.4344,0.8981,3,10
alpha,FP1-F7|F4-C4,chb14,standard,+0.0474,0.9668,0.9711,8,10
alpha,FP1-F7|F4-C4,chb21,inverted,+0.9116,0.9688,0.8699,4,10
alpha,F7-T7|FP1-F3,chb01,standard,+0.7897,0.9531,0.9428,7,10
alpha,F7-T7|FP1-F3,chb03,inverted,-0.6366,0.9656,0.9287,7,10
alpha,F7-T7|FP1-F3,chb05,standard,+2.1448,0.6029,0.8700,5,10
alpha,F7-T7|FP1-F3,chb07,standard,+0.3060,0.9485,0.9111,3,10
alpha,F7-T7|FP1-F3,chb11,inverted,+0.6628,0.2996,0.8106,3,10
alpha,F7-T7|FP1-F3,chb14,standard,-1.1486,0.9237,0.3557,8,10
alpha,F7-T7|FP1-F3,chb21,inverted,+0.7713,0.9918,0.9733,4,10
alpha,F7-T7|F3-C3,chb01,standard,-0.0758,0.9970,0.9991,7,10
alpha,F7-T7|F3-C3,chb03,inverted,+0.1357,0.9960,0.9951,7,10
alpha,F7-T7|F3-C3,chb05,standard,-0.6632,0.3175,0.9287,5,10
alpha,F7-T7|F3-C3,chb07,standard,+0.0357,0.9988,0.9933,3,10
alpha,F7-T7|F3-C3,chb11,inverted,-0.3123,0.9474,0.9727,3,10
alpha,F7-T7|F3-C3,chb14,standard,-0.1380,0.9793,0.9831,8,10
alpha,F7-T7|F3-C3,chb21,inverted,-0.0460,0.9988,0.7874,4,10
alpha,F7-T7|FP2-F8,chb01,standard,+0.1180,0.9663,0.9614,7,10
alpha,F7-T7|FP2-F8,chb03,inverted,-0.7582,0.9682,0.9868,7,10
alpha,F7-T7|FP2-F8,chb05,standard,+0.0574,0.9429,0.8606,5,10
alpha,F7-T7|FP2-F8,chb07,standard,-0.5064,0.9696,0.9841,3,10
alpha,F7-T7|FP2-F8,chb11,inverted,+2.0825,0.3765,0.9672,3,10
alpha,F7-T7|FP2-F8,chb14,standard,+0.1207,0.9785,0.9406,8,10
alpha,F7-T7|FP2-F8,chb21,inverted,+0.0577,0.9930,0.8234,4,10
alpha,F7-T7|F8-T8,chb01,standard,+0.2047,0.8565,0.7494,7,10
alpha,F7-T7|F8-T8,chb03,inverted,-0.2276,0.9575,0.9693,7,10
alpha,F7-T7|F8-T8,chb05,standard,-0.4481,0.9289,0.9287,5,10
alpha,F7-T7|F8-T8,chb07,standard,-0.3190,0.9999,0.8247,3,10
alpha,F7-T7|F8-T8,chb11,inverted,+0.7792,0.1494,0.7038,3,10
alpha,F7-T7|F8-T8,chb14,standard,+0.7006,0.9266,0.7695,8,10
alpha,F7-T7|F8-T8,chb21,inverted,+0.7783,0.9891,0.8371,4,10
alpha,F7-T7|FP2-F4,chb01,standard,+0.3927,0.9160,0.6789,7,10
alpha,F7-T7|FP2-F4,chb03,inverted,-0.8035,0.8484,0.9709,7,10
alpha,F7-T7|FP2-F4,chb05,standard,+2.8797,0.9323,0.8981,5,10
alpha,F7-T7|FP2-F4,chb07,standard,-0.4397,0.8943,0.7879,3,10
alpha,F7-T7|FP2-F4,chb11,inverted,+1.8345,0.4842,0.8410,3,10
alpha,F7-T7|FP2-F4,chb14,standard,-0.6541,0.9763,0.6234,8,10
alpha,F7-T7|FP2-F4,chb21,inverted,+0.8551,0.9750,0.8962,4,10
alpha,F7-T7|F4-C4,chb01,standard,-0.1380,0.9730,0.9248,7,10
alpha,F7-T7|F4-C4,chb03,inverted,+0.0976,0.6216,0.9840,7,10
alpha,F7-T7|F4-C4,chb05,standard,+2.5566,0.5143,0.4354,5,10
alpha,F7-T7|F4-C4,chb07,standard,-0.2019,0.9788,0.9023,3,10
alpha,F7-T7|F4-C4,chb11,inverted,-1.8570,0.4578,0.7127,3,10
alpha,F7-T7|F4-C4,chb14,standard,+0.4791,0.9514,0.8636,8,10
alpha,F7-T7|F4-C4,chb21,inverted,+0.8263,0.9749,0.7571,4,10
alpha,FP1-F3|F3-C3,chb01,standard,+0.2454,0.8827,0.6883,7,10
alpha,FP1-F3|F3-C3,chb03,inverted,-2.4781,0.2613,0.9732,7,10
alpha,FP1-F3|F3-C3,chb05,standard,+0.2033,0.6309,0.7132,5,10
alpha,FP1-F3|F3-C3,chb07,standard,-0.9283,0.8646,0.5997,3,10
alpha,FP1-F3|F3-C3,chb11,inverted,-0.0793,0.9229,0.8483,3,10
alpha,FP1-F3|F3-C3,chb14,standard,+2.0838,0.4491,0.9476,8,10
alpha,FP1-F3|F3-C3,chb21,inverted,+1.1103,0.9660,0.4508,4,10
alpha,FP1-F3|FP2-F8,chb01,standard,-0.2053,0.9719,0.9929,7,10
alpha,FP1-F3|FP2-F8,chb03,inverted,+1.8487,0.3123,0.7660,7,10
alpha,FP1-F3|FP2-F8,chb05,standard,-2.2947,0.4430,0.9690,5,10
alpha,FP1-F3|FP2-F8,chb07,standard,-0.8612,0.5855,0.9586,3,10
alpha,FP1-F3|FP2-F8,chb11,inverted,-0.4332,0.9703,0.7062,3,10
alpha,FP1-F3|FP2-F8,chb14,standard,+0.2297,0.9426,0.8506,8,10
alpha,FP1-F3|FP2-F8,chb21,inverted,-0.1178,0.9975,0.6799,4,10
alpha,FP1-F3|F8-T8,chb01,standard,-0.0956,0.9017,0.4701,7,10
alpha,FP1-F3|F8-T8,chb03,inverted,+2.4446,0.3799,0.8487,7,10
alpha,FP1-F3|F8-T8,chb05,standard,-3.1184,0.6454,0.8208,5,10
alpha,FP1-F3|F8-T8,chb07,standard,+0.6525,0.9371,0.9275,3,10
alpha,FP1-F3|F8-T8,chb11,inverted,+0.4063,0.9368,0.8665,3,10
alpha,FP1-F3|F8-T8,chb14,standard,-1.8852,0.8592,0.3376,8,10
alpha,FP1-F3|F8-T8,chb21,inverted,+0.4544,0.9717,0.5771,4,10
alpha,FP1-F3|FP2-F4,chb01,standard,+0.0025,0.9901,0.9980,7,10
alpha,FP1-F3|FP2-F4,chb03,inverted,+0.1120,0.9556,0.9987,7,10
alpha,FP1-F3|FP2-F4,chb05,standard,-0.0788,0.9832,0.9901,5,10
alpha,FP1-F3|FP2-F4,chb07,standard,-0.6535,0.8025,0.9900,3,10
alpha,FP1-F3|FP2-F4,chb11,inverted,-0.0611,0.9920,0.9888,3,10
alpha,FP1-F3|FP2-F4,chb14,standard,+0.2201,0.9903,0.9810,8,10
alpha,FP1-F3|FP2-F4,chb21,inverted,+0.0844,0.9993,0.9930,4,10
alpha,FP1-F3|F4-C4,chb01,standard,+0.2926,0.9077,0.6964,7,10
alpha,FP1-F3|F4-C4,chb03,inverted,+1.0289,0.7005,0.8813,7,10
